name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Brier Hill Pizza & Wings,587 5th St,Youngstown,44471,US,41.0553955,-80.6038747,0,4,5,7,1,7,0,0,0,0,0,0,7,1,7
Broadway Pizza & Restaurant,2709 Broadway,New York,10025,US,40.7996265,-73.9686711,1,3,57,6.6,5,33,6.7,4,26.8,0,0,0,6.2,1,6.2
Bronx Pizza,111 Washington St,San Diego,92103,US,32.7496568,-117.1634597,1,4.5,3233,8.405882353,51,428.7,8.412,50,420.6,0,0,0,8.1,1,8.1
Brooklyn Pizza Masters,1055 1st Ave,New York,10022,US,40.7586551,-73.9630182,0,4.5,82,8.0975,40,323.9,8.087179487,39,315.4,0,0,0,8.5,1,8.5
Brooklyn's Homeslice Pizzeria,567 Vanderbilt Ave,Brooklyn,11238,US,40.6806956,-73.9674607,1,4.5,94,7.728571429,7,54.1,7.783333333,6,46.7,0,0,0,7.4,1,7.4
Brother's Pizzeria,750 Port Richmond Ave,Staten Island,10302,US,40.6255479,-74.1437917,1,4,195,8.396296296,27,226.7,8.415384615,26,218.8,0,0,0,7.9,1,7.9
Brunetti Pizza,626 Hudson St,New York,10014,US,40.7382727,-74.0053786,2,4,272,7.754545455,11,85.3,7.71,10,77.1,0,0,0,8.2,1,8.2
Bruno Bros Pizza,5549 Mahoning Ave,Austintown,44515,US,41.0984394,-80.7660943,1,3.5,6,6.25,2,12.5,6.1,1,6.1,0,0,0,6.4,1,6.4
Buca di Beppo Italian Restaurant,1540 Broadway,New York,10036,US,40.7580741,-73.9847908,2,3.5,355,4.1,2,8.2,0,0,0,7,1,7,1.2,1,1.2
Buchetta Brick Oven Pizza,201 W 103rd St,New York,10025,US,40.7987416,-73.9673646,2,4,203,6.7,1,6.7,0,0,0,0,0,0,6.7,1,6.7
Buckhead Pizza,3324 Peachtree Rd,Atlanta,30326,US,33.8455184,-84.3689686,2,3,405,6.75,6,40.5,6.475,4,25.9,7.4,1,7.4,7.2,1,7.2
Buddy's Pizza,22148 Michigan Ave,Dearborn,48124,US,42.3057179,-83.247297,2,4,282,8.015384615,13,104.2,8.05,12,96.6,0,0,0,7.6,1,7.6
Café Crust,850 County Rd 39,Southampton,11968,US,40.8920639,-72.425907,2,3.5,101,7.242857143,7,50.7,7.25,6,43.5,0,0,0,7.2,1,7.2
Cafe Daniello's,1072 2nd Ave,New York,10022,US,40.7587907,-73.9653527,2,3,94,7.657692308,26,199.1,7.64,25,191,0,0,0,8.1,1,8.1
Cafe Fiorello,1900 Broadway,New York,10023,US,40.771542,-73.9814645,3,3.5,696,7.55,2,15.1,7.9,1,7.9,0,0,0,7.2,1,7.2
Cafe Viva,2578 Broadway,New York,10025,US,40.7952921,-73.9707437,1,3.5,213,4.8,4,19.2,5.8,3,17.4,0,0,0,1.8,1,1.8
Canal Pizza,89 Canal St,New York,10002,US,40.7155652,-73.9934694,1,4,9,5.815,4,23.26,7.4,2,14.8,6.76,1,6.76,1.7,1,1.7
Cape Cod Cafe,979 Main St,Brockton,2301,US,42.0660348,-71.0165789,2,4,164,8.916666667,18,160.5,8.941176471,17,152,0,0,0,8.5,1,8.5
Capizzi,547 9th Ave,New York,10018,US,40.7574739,-73.9936489,2,4.5,728,7.9,7,55.3,8.033333333,6,48.2,0,0,0,7.1,1,7.1
Caputo's Pizzeria,Home Depot Plz,Saratoga Springs,12866,US,43.1008889,-73.7424231,1,3,70,7.825,16,125.2,7.806666667,15,117.1,0,0,0,8.1,1,8.1
Carmine's Pizzeria,358 Graham Ave,Brooklyn,11211,US,40.7149868,-73.9441688,1,4,406,7.658333333,12,91.9,7.645454545,11,84.1,0,0,0,7.8,1,7.8
Carve,760 8th Ave,New York,10036,US,40.7601189,-73.9872281,1,3.5,345,5.445454545,11,59.9,5.58,10,55.8,0,0,0,4.1,1,4.1
Casa D'amici,485 High St,Morgantown,26505,US,39.6319501,-79.9542123,1,3,42,5.854545455,11,64.4,5.79,10,57.9,0,0,0,6.5,1,6.5
Casabianca Pizzeria,503 W 57th St,New York,10019,US,40.7694782,-73.9888845,1,3,48,7.122222222,9,64.1,7.1625,8,57.3,0,0,0,6.8,1,6.8
Casey's General Store,1987 2nd St,Coralville,52241,US,41.6796112,-91.5906823,1,2,3,7.6,2,15.2,10,1,10,0,0,0,5.2,1,5.2
Cassiano's Pizza,930 3rd Ave,New York,10022,US,40.7595458,-73.9683607,1,3,102,6.2,10,62,6.0625,8,48.5,6.9,1,6.9,6.6,1,6.6
Catfish Biff's Pizza & Subs,75 W 11th Ave,Columbus,43201,US,39.9951727,-83.0094102,1,3.5,52,6.685714286,7,46.8,7.6,6,45.6,0,0,0,1.2,1,1.2
Champion Pizza,17 Cleveland Pl,New York,10012,US,40.7215205,-73.9970345,1,4.5,243,7.25,18,130.5,7.2,17,122.4,0,0,0,8.1,1,8.1
Cheesy Pizza,2640 Broadway,New York,10025,US,40.7971889,-73.9695729,1,3,95,6.12,5,30.6,6.125,4,24.5,0,0,0,6.1,1,6.1
Cheetah Pizza,5125 Edina Industrial Blvd,Edina,55439,US,44.8633027,-93.3540843,1,3.5,13,4.2,2,8.4,5,1,5,0,0,0,3.4,1,3.4
Chelsea Pizza 23,268 W 23rd St,New York,10011,US,40.7450574,-73.9983379,1,3,68,5.9,1,5.9,0,0,0,0,0,0,5.9,1,5.9
Chilmark General Store,7 State Rd,Chilmark,2535,US,41.3420782,-70.74509,2,4,46,6.8,3,20.4,6.9,2,13.8,0,0,0,6.6,1,6.6
Chuck E. Cheese's,2250 Coastal Ln,West Melbourne,32904,US,28.0773373,-80.7047651,2,3,16,6,1,6,0,0,0,0,0,0,6,1,6
Churchill Downs,700 Central Ave,Louisville,40208,US,38.2042473,-85.7716305,0,4.5,251,0.2,1,0.2,0,0,0,0,0,0,0.2,1,0.2
Ciao Vineria con Cucina,178 Mulberry St,New York,10012,US,40.7206548,-73.9966534,2,3,166,7.7,1,7.7,0,0,0,0,0,0,7.7,1,7.7
